lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.00419153762049973
100,50,75,32,adam,0.003656058362685144
100,100,50,32,adam,0.003989852266386151
100,100,75,32,adam,0.003160461550578475
100,150,50,32,adam,0.0034225587733089924
100,150,75,32,adam,0.0036779298447072507
150,50,50,32,adam,0.0027729413472115994
150,50,75,32,adam,0.005996786733157932
150,100,50,32,adam,0.0036640123929828406
150,100,75,32,adam,0.004600934684276581
150,150,50,32,adam,0.004060983937233686
150,150,75,32,adam,0.0034698704723268746
100,50,50,64,adam,0.0055742159252986315
100,50,75,64,adam,0.005101842735894024
100,100,50,64,adam,0.004888638784177601
100,100,75,64,adam,0.006823794357478619
100,150,50,64,adam,0.004933990887366235
100,150,75,64,adam,0.003982752421870827
150,50,50,64,adam,0.005921879876405
150,50,75,64,adam,0.006980016198940575
150,100,50,64,adam,0.0031989678274840115
150,100,75,64,adam,0.004819485521875322
150,150,50,64,adam,0.004040294443257153
150,150,75,64,adam,0.003988230205141008
