lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0019229477969929577
100,50,75,32,adam,0.003478640248067677
100,100,50,32,adam,0.001847844454459846
100,100,75,32,adam,0.0017387146013788878
100,150,50,32,adam,0.0021581135923042895
100,150,75,32,adam,0.0021832336205989122
150,50,50,32,adam,0.002177456975914538
150,50,75,32,adam,0.002360066049732268
150,100,50,32,adam,0.002960036834701896
150,100,75,32,adam,0.00177381542744115
150,150,50,32,adam,0.0026243603555485607
150,150,75,32,adam,0.001703140838071704
100,50,50,64,adam,0.0041072289925068615
100,50,75,64,adam,0.0035651703365147114
100,100,50,64,adam,0.005992462672293186
100,100,75,64,adam,0.002851856383495033
100,150,50,64,adam,0.002247200708370656
100,150,75,64,adam,0.003962233616039157
150,50,50,64,adam,0.0025820817099884152
150,50,75,64,adam,0.0015552097000181675
150,100,50,64,adam,0.0024747754214331508
150,100,75,64,adam,0.0045915479771792885
150,150,50,64,adam,0.002572556619998068
150,150,75,64,adam,0.002769206173252314
