lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.002992408908903599
100,50,75,32,adam,0.001959511428140104
100,100,50,32,adam,0.002242957259295508
100,100,75,32,adam,0.0015554510056972504
100,150,50,32,adam,0.00243271728977561
100,150,75,32,adam,0.002136100362986326
150,50,50,32,adam,0.001646992063615471
150,50,75,32,adam,0.0016656648367643356
150,100,50,32,adam,0.0014081147150136531
150,100,75,32,adam,0.002314452501013875
150,150,50,32,adam,0.002547900448553264
150,150,75,32,adam,0.0025454232410993425
100,50,50,64,adam,0.0024423265480436386
100,50,75,64,adam,0.0034949383698403835
100,100,50,64,adam,0.0024374415166676044
100,100,75,64,adam,0.0032666953396983446
100,150,50,64,adam,0.0019764213648159057
100,150,75,64,adam,0.0028379103168845177
150,50,50,64,adam,0.00339451830368489
150,50,75,64,adam,0.004218112304806709
150,100,50,64,adam,0.003916414175182581
150,100,75,64,adam,0.0037670633755624294
150,150,50,64,adam,0.002290320326574147
150,150,75,64,adam,0.0032558155246078966
