lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.006168811628594994
100,50,75,32,adam,0.005856451392173767
100,100,50,32,adam,0.0063728255219757555
100,100,75,32,adam,0.006164748268201947
100,150,50,32,adam,0.007883509295061231
100,150,75,32,adam,0.01072303280234337
150,50,50,32,adam,0.006690393714234233
150,50,75,32,adam,0.006797249335795641
150,100,50,32,adam,0.006576554849743843
150,100,75,32,adam,0.00657392330467701
150,150,50,32,adam,0.006496507860720158
150,150,75,32,adam,0.007578662969172001
100,50,50,64,adam,0.006976039451546967
100,50,75,64,adam,0.008154752431437373
100,100,50,64,adam,0.00730731962248683
100,100,75,64,adam,0.009434780292212962
100,150,50,64,adam,0.007179220835678279
100,150,75,64,adam,0.006005478906445205
150,50,50,64,adam,0.009069270035251976
150,50,75,64,adam,0.007122588250786066
150,100,50,64,adam,0.006292453710921108
150,100,75,64,adam,0.010626567248255014
150,150,50,64,adam,0.008220852422527968
150,150,75,64,adam,0.008031862368807197
