lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0078261386603117
100,50,75,32,adam,0.004978659050539136
100,100,50,32,adam,0.007377027999609709
100,100,75,32,adam,0.007247996050864458
100,150,50,32,adam,0.005100553389638662
100,150,75,32,adam,0.005216559721156954
150,50,50,32,adam,0.005729617644101381
150,50,75,32,adam,0.004697307897731662
150,100,50,32,adam,0.005189966596662998
150,100,75,32,adam,0.0060268478002399204
150,150,50,32,adam,0.004870620230212808
150,150,75,32,adam,0.005208782851696014
100,50,50,64,adam,0.007860064692795276
100,50,75,64,adam,0.006405226653441787
100,100,50,64,adam,0.004882267443463206
100,100,75,64,adam,0.005473166238516569
100,150,50,64,adam,0.005343823786824941
100,150,75,64,adam,0.0061850003898143765
150,50,50,64,adam,0.005108615383505821
150,50,75,64,adam,0.00692272437736392
150,100,50,64,adam,0.005426531285047531
150,100,75,64,adam,0.008987054880708455
150,150,50,64,adam,0.006559736374765634
150,150,75,64,adam,0.006829553050920367
