lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.00609026993624866
100,50,75,32,adam,0.003788195946253836
100,100,50,32,adam,0.0019031384494155646
100,100,75,32,adam,0.0014765908941626548
100,150,50,32,adam,0.0013688033679500223
100,150,75,32,adam,0.0017420676071196795
150,50,50,32,adam,0.002348082512617111
150,50,75,32,adam,0.0014129488496109842
150,100,50,32,adam,0.0017215731088072062
150,100,75,32,adam,0.0033961248118430376
150,150,50,32,adam,0.0013049315777607263
150,150,75,32,adam,0.0015936927287839354
100,50,50,64,adam,0.0041076619876548644
100,50,75,64,adam,0.006436305283568799
100,100,50,64,adam,0.001586665865033865
100,100,75,64,adam,0.005256431014277041
100,150,50,64,adam,0.003649376588873565
100,150,75,64,adam,0.00471315560862422
150,50,50,64,adam,0.0032999254763126373
150,50,75,64,adam,0.0029739409568719567
150,100,50,64,adam,0.0037847919622436164
150,100,75,64,adam,0.0030327703105285765
150,150,50,64,adam,0.002351446310058236
150,150,75,64,adam,0.0034287497866898773
