lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.003113956796005368
100,50,75,32,adam,0.00268029160797596
100,100,50,32,adam,0.003066243720240891
100,100,75,32,adam,0.0031096858903765677
100,150,50,32,adam,0.002515090978704393
100,150,75,32,adam,0.0036059989128261805
150,50,50,32,adam,0.0047382384072989225
150,50,75,32,adam,0.002135050296783447
150,100,50,32,adam,0.0022528271889314055
150,100,75,32,adam,0.005197200551629066
150,150,50,32,adam,0.00420894525013864
150,150,75,32,adam,0.002703995001502335
100,50,50,64,adam,0.0053808907978236675
100,50,75,64,adam,0.003719504992477596
100,100,50,64,adam,0.004545890400186181
100,100,75,64,adam,0.004465711954981089
100,150,50,64,adam,0.00495227500796318
100,150,75,64,adam,0.004339217068627476
150,50,50,64,adam,0.006734498124569654
150,50,75,64,adam,0.003858325211331248
150,100,50,64,adam,0.006107130018062889
150,100,75,64,adam,0.003238915861584246
150,150,50,64,adam,0.004977532778866589
150,150,75,64,adam,0.005046873190440238
