lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.006454461021348834
100,50,75,32,adam,0.004805869143456221
100,100,50,32,adam,0.005407079961150885
100,100,75,32,adam,0.004834644123911857
100,150,50,32,adam,0.004213061463087797
100,150,75,32,adam,0.005416213814169168
150,50,50,32,adam,0.004327586898580193
150,50,75,32,adam,0.005613121297210455
150,100,50,32,adam,0.00530522046610713
150,100,75,32,adam,0.005157737713307142
150,150,50,32,adam,0.004022536566480994
150,150,75,32,adam,0.004615176469087601
100,50,50,64,adam,0.011911592818796635
100,50,75,64,adam,0.006866481155157089
100,100,50,64,adam,0.006306021474301815
100,100,75,64,adam,0.0059686591383069755
100,150,50,64,adam,0.005727069079875946
100,150,75,64,adam,0.00677154054865241
150,50,50,64,adam,0.0069021637551486496
150,50,75,64,adam,0.007319974061101675
150,100,50,64,adam,0.005108619574457407
150,100,75,64,adam,0.006017349287867546
150,150,50,64,adam,0.005615614634007215
150,150,75,64,adam,0.00756363389082253
