lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.004169592633843422
100,50,75,32,adam,0.00402065203525126
100,100,50,32,adam,0.0033774166367948055
100,100,75,32,adam,0.0032565413042902947
100,150,50,32,adam,0.004216784564778209
100,150,75,32,adam,0.004677745094522834
150,50,50,32,adam,0.004678142396733165
150,50,75,32,adam,0.0037110308883711697
150,100,50,32,adam,0.0030085523147135975
150,100,75,32,adam,0.004024054016917944
150,150,50,32,adam,0.0031604558462277055
150,150,75,32,adam,0.0030700959265232085
100,50,50,64,adam,0.006881833076477051
100,50,75,64,adam,0.007653181347995997
100,100,50,64,adam,0.004368137568235397
100,100,75,64,adam,0.00403295699506998
100,150,50,64,adam,0.004111854545772076
100,150,75,64,adam,0.004484866932034493
150,50,50,64,adam,0.004467339487746358
150,50,75,64,adam,0.004440281493589282
150,100,50,64,adam,0.003375759394839406
150,100,75,64,adam,0.004026723117567599
150,150,50,64,adam,0.005633015860803425
150,150,75,64,adam,0.004153763921931386
