lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0028035661205649378
100,50,75,32,adam,0.00308360829949379
100,100,50,32,adam,0.0026863634586334227
100,100,75,32,adam,0.0032509068958461286
100,150,50,32,adam,0.004003121075220406
100,150,75,32,adam,0.0027795790694653986
150,50,50,32,adam,0.005982215283438563
150,50,75,32,adam,0.002931911242194474
150,100,50,32,adam,0.0032263811910524963
150,100,75,32,adam,0.00312810386531055
150,150,50,32,adam,0.002742035361006856
150,150,75,32,adam,0.0035036096815019846
100,50,50,64,adam,0.0072666199412196875
100,50,75,64,adam,0.004616034077480435
100,100,50,64,adam,0.005111366044729948
100,100,75,64,adam,0.004832334583625197
100,150,50,64,adam,0.004462393745779991
100,150,75,64,adam,0.004587657423689962
150,50,50,64,adam,0.0040860547916963695
150,50,75,64,adam,0.005864033848047257
150,100,50,64,adam,0.0031593947904184462
150,100,75,64,adam,0.003811479080468416
150,150,50,64,adam,0.0037125822156667708
150,150,75,64,adam,0.00490215471945703
