lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.007782271225005388
100,50,75,32,adam,0.0067608003504574295
100,100,50,32,adam,0.0069997765123844145
100,100,75,32,adam,0.008868362894281745
100,150,50,32,adam,0.007089239312335849
100,150,75,32,adam,0.0057768074329942465
150,50,50,32,adam,0.005671886261552572
150,50,75,32,adam,0.008858046308159829
150,100,50,32,adam,0.007765913475304842
150,100,75,32,adam,0.00790895619429648
150,150,50,32,adam,0.006741873733699322
150,150,75,32,adam,0.008104781713336706
100,50,50,64,adam,0.008182438090443611
100,50,75,64,adam,0.010515598207712173
100,100,50,64,adam,0.0079285005107522
100,100,75,64,adam,0.007201144006103277
100,150,50,64,adam,0.006734688393771648
100,150,75,64,adam,0.007248994521796703
150,50,50,64,adam,0.007568875700235367
150,50,75,64,adam,0.005999491084367037
150,100,50,64,adam,0.00868539111688733
150,100,75,64,adam,0.006831965781748295
150,150,50,64,adam,0.007875664485618472
150,150,75,64,adam,0.008694114396348596
