lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0022945083444938065
100,50,75,32,adam,0.0026113065425306557
100,100,50,32,adam,0.0017574023455381393
100,100,75,32,adam,0.0015914232237264514
100,150,50,32,adam,0.001987986918538809
100,150,75,32,adam,0.003129311907105148
150,50,50,32,adam,0.003671229409519583
150,50,75,32,adam,0.002665167348459363
150,100,50,32,adam,0.0015719156013801693
150,100,75,32,adam,0.0019893648102879526
150,150,50,32,adam,0.0029219914926216007
150,150,75,32,adam,0.003382181259803474
100,50,50,64,adam,0.002853368641808629
100,50,75,64,adam,0.003104978450573981
100,100,50,64,adam,0.004488615971058607
100,100,75,64,adam,0.00429658405482769
100,150,50,64,adam,0.004810310713946819
100,150,75,64,adam,0.003198171406984329
150,50,50,64,adam,0.0017323164967820049
150,50,75,64,adam,0.005885625584051013
150,100,50,64,adam,0.0037180854473263026
150,100,75,64,adam,0.003418206097558141
150,150,50,64,adam,0.004026730894111097
150,150,75,64,adam,0.003297740826383233
