lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0031935298582538964
100,50,75,32,adam,0.003133000573143363
100,100,50,32,adam,0.002494400064460933
100,100,75,32,adam,0.0036412988789379596
100,150,50,32,adam,0.005184854054823518
100,150,75,32,adam,0.0037636372726410627
150,50,50,32,adam,0.0025871739257127047
150,50,75,32,adam,0.002966776257380843
150,100,50,32,adam,0.0030815411359071732
150,100,75,32,adam,0.004701289441436529
150,150,50,32,adam,0.0049231198849156495
150,150,75,32,adam,0.003751288587227464
100,50,50,64,adam,0.0047396739246323705
100,50,75,64,adam,0.0059119674377143385
100,100,50,64,adam,0.005756300408393145
100,100,75,64,adam,0.003556578978896141
100,150,50,64,adam,0.003764271573163569
100,150,75,64,adam,0.0035554470494389536
150,50,50,64,adam,0.0050000406336039305
150,50,75,64,adam,0.004717887379229069
150,100,50,64,adam,0.0038297555409371855
150,100,75,64,adam,0.002825339650735259
150,150,50,64,adam,0.005478751193732023
150,150,75,64,adam,0.003783699660561979
